Familia - Family,Departamento - Department,Grupo - Group,Subgrupo - Subgroup,Item,Item Descrip.,ST 12s,ST_REAL,Classificação Geral -  Classification ,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,Estrategico - Strategic,VND TT 12s,Projetado - Projected,Estoque QTD Inicial Initial Stock Qty,Recebimento Total  Total Recieved,Fornecedor - Supplier,Preço Original - Original Price,Preço Vigente - Actual Price,Idade de Estoque - Days in Stock,Idade Ajustada - Days in Stock (adjusted),Cash Margem Mês - Monthly Cash Margin,Venda R$ Mês - Montly Sales in R$,R$ Estoque - Stock in R$,Estoque QTD - Stock Qty,Venda QTD Total - Total Sales Qty,Cash Margem Total - Total Cash Margin,Pri. Recebimento - Day when 1st recieved,Pri Dia VND Ajustado - 1st  Day of Sales (adjusted),Qtd Lojas C/ Item Meio Pack - Num. of Stores w/ half pack,Qtd Lojas C/ Item - Num. of Stores w/ the item,Carteira Valor - Order Value,Carteira QTD - Order Qty,Qtd de pedidos - Num. of Orders,Remarcado - Remarked,MV Total - Total Sales Margin,ANO_MÊS - Year_month,Recebimento Custo - Shipping Cost,Recebimento R$ - Amout (R$) Recieved ,Custo Unit. -Cost per unit,MV Entrada - Entry Sales Margin
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271422,BERMUDA JEANS CLARO,"87,30%","87,30%",Best,"10,90%","24,65%","40,45%","5,55%","0,80%","0,90%","0,35%","0,55%","0,80%","0,80%","0,80%","0,75%",Não Estratégico,1746,N,1912,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,177,167,530,1015,8329,119,1866,68465,24/11/2023,2023-12-04 00:00:00,4,64,,,1,N,0.531818860091038,202311,64600,139980,32.3,0.538505500785827
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271423,BERMUDA JEANS MED AV,"77,95%","77,95%",Best,"10,40%","20,45%","34,90%","5,40%","1,00%","1,30%","0,95%","1,00%","0,75%","0,75%","0,50%","0,55%",Não Estratégico,1559,N,1926,2000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,180,167,1394,2455,21198,265,1716,76403,21/11/2023,2023-12-04 00:00:00,15,77,,,1,N,0.565567529934817,202311,68400,159980,34.2,0.572446555819477
04 Infantil,JUVENIL MENINO,JEANS,BERMUDA JEANS,271424,BERMUDA JEANS ESC AV,"92,20%","92,20%",Best,"15,60%","26,10%","25,70%","19,60%","2,50%","0,70%","0,40%","0,50%","0,30%","0,20%","0,40%","0,20%",Não Estratégico,922,N,936,1000,G M D INDUSTRIA TEXTIL EIRELI,69.99,39.99,185,174,90,260,560,14,979,34441,16/11/2023,2023-11-27 00:00:00,1,7,,,1,S,0.508526444572868,202311,34000,69990,34,0.51421631661666
10 Acessorios Av,UNDERWEAR,MEIA INFANTIL,MEIA AVULSA,271426,KIT 5X1 MEIA MNA EAK,"100,00%","25,00%",Best,"9,03%","15,97%",,,,,,,,,,,Não Estratégico,1058,S,968,1008,PPS,25.99,25.99,53,20,4074,10687,14035,540,466,4460,27/03/2024,2024-04-29 00:00:00,35,69,,,1,N,0.380872051856072,202403,7790,26197.92,7.73,0.702632880778321
04 Infantil,JUVENIL MENINO,JEANS,CALCA JEANS,271431,CALCA JEANS ESC SKIN,"87,80%","87,80%",Best,"13,10%","27,40%","28,60%","6,75%","1,35%","2,00%","1,25%","1,50%","1,45%","1,50%","1,25%","1,65%",Não Estratégico,1756,N,1948,2000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,178,167,922,1882,7920,99,1895,73223,23/11/2023,2023-12-04 00:00:00,2,37,,,1,N,0.491351738124254,202311,80000,159980,40,0.499937492186523
04 Infantil,JUVENIL MENINO,JEANS,CALCA JEANS,271432,CALCA JEANS CLARO AV,"50,55%","50,55%",Slow,"6,80%","6,65%","6,35%","4,45%","3,25%","3,55%","3,25%","4,60%","3,50%","2,65%","2,05%","3,45%",Não Estratégico,1011,N,1901,2000,G M D INDUSTRIA TEXTIL EIRELI,89.99,89.99,103,90,6501,12969,79642,885,1117,48377,06/02/2024,2024-02-19 00:00:00,67,133,,,1,N,0.496042206619004,202402,88000,179980,44,0.511056784087121
04 Infantil,INFANTIL MENINA,JEANS,SHORT JEANS,271437,SHORT JEANS MED AV19,"78,25%","78,25%",Best,"4,95%","8,05%","11,60%","12,40%","9,05%","6,40%","5,05%","6,00%","5,10%","3,35%","3,90%","2,40%",Não Estratégico,1565,N,1795,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,122,125,2610,5118,14558,208,1784,62761,04/01/2024,2024-01-15 00:00:00,10,67,,,2,N,0.515985461476605,202401,66000,139980,33,0.528504072010287
04 Infantil,INFANTIL MENINA,JEANS,CALCA JEANS,271439,CALCA JEANS MED AV19,"57,90%","57,90%",Good,"5,55%","7,95%","7,20%","5,10%","3,90%","3,85%","5,15%","3,50%","4,45%","4,10%","4,00%","3,15%",Não Estratégico,1158,N,1907,2000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,136,118,5028,9778,40875,511,1478,59388,04/01/2024,2024-01-22 00:00:00,40,88,,,1,N,0.513948662579949,202401,76000,159980,38,0.524940617577197
04 Infantil,INFANTIL MENINA,JEANS,CALCA JEANS,271440,CALCA JEANS ESC AV19,"70,70%","70,70%",Good,"8,90%","15,60%","11,60%","6,90%","5,70%","4,20%","5,00%","2,00%","2,70%","3,10%","2,50%","2,50%",Não Estratégico,707,N,943,1000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,129,118,1375,2633,16798,210,786,32180,11/01/2024,2024-01-22 00:00:00,13,62,,,1,N,0.525279572820175,202401,37000,79990,37,0.537442180272534
04 Infantil,INFANTIL MENINA,JEANS,CALCA JEANS,271441,CALCA JEANS CLARO AV,"90,65%","90,65%",Best,"7,35%","17,10%","13,80%","15,10%","9,90%","6,50%","6,70%","5,50%","2,95%","2,90%","1,75%","1,10%",Não Estratégico,1813,N,1883,2000,G M D INDUSTRIA TEXTIL EIRELI,79.99,79.99,103,97,2801,5461,9759,122,1876,74201,06/02/2024,2024-02-12 00:00:00,6,49,,,1,N,0.510007900304671,202402,76000,159980,38,0.524940617577197
04 Infantil,INFANTIL MENINA,JEANS,CALCA JEANS,271442,CALCA JEANS ESC AV19,"53,63%","8,30%",Slow,"8,30%",,,,,,,,,,,,Não Estratégico,1073,S,1948,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,26,13,13222,26448,109045,1558,391,13293,23/04/2024,2024-05-06 00:00:00,122,135,,,1,N,0.499966712091184,202404,68000,139980,34,0.51421631661666
04 Infantil,INFANTIL MENINA,JEANS,CALCA JEANS,271443,CALCA JEANS CLA AV19,"79,20%","79,20%",Best,"3,60%","10,20%","7,20%","8,00%","8,80%","10,40%","12,60%","5,60%","5,20%","3,80%","1,80%","2,00%",Não Estratégico,396,N,484,2000,G M D INDUSTRIA TEXTIL EIRELI,69.99,69.99,130,153,8457,16583,89238,1275,691,24741,13/12/2023,2023-12-18 00:00:00,118,124,,,2,N,0.522157277987168,202312,67150,139980,33.58,0.520288612658951
